"affy_hg_u133_plus_2"	"hgnc_symbol"
"441"	"234624_at"	""
"442"	"229562_at"	"MIR7111"
"443"	"229563_s_at"	"MIR7111"
"444"	"AFFX-HUMRGE/M10098_5_at"	""
"445"	"212333_at"	"FAM98A"
"446"	"241832_at"	"FAM98A"
"447"	"239487_at"	"FAM98A"
"448"	"218255_s_at"	""
"449"	"207918_s_at"	"TSPY7P"
"450"	"237338_at"	"B3GNT8"
"451"	"208922_s_at"	"MIR6514"
"452"	"236188_s_at"	""
"453"	"220514_at"	""
"454"	"1556747_a_at"	""
"455"	"1556748_x_at"	""
"456"	"226467_at"	"TANGO6"
"457"	"210269_s_at"	"AKAP17A"
"458"	"203624_at"	"AKAP17A"
"459"	"228447_at"	"AKAP17A"
"460"	"231334_at"	""
"461"	"222954_at"	"FBXO40"
"462"	"220164_s_at"	"FBXO40"
"463"	"1559280_a_at"	"APELA"
"464"	"225822_at"	"TMEM125"
"465"	"208127_s_at"	"SOCS5"
"466"	"209648_x_at"	"SOCS5"
"467"	"209647_s_at"	"SOCS5"
"468"	"1560298_at"	""
"469"	"211455_at"	""
"470"	"1555764_s_at"	"TIMM10"
"471"	"218408_at"	"TIMM10"
"472"	"237021_at"	"CEP83-AS1"
"473"	"214035_x_at"	""
"474"	"204538_x_at"	""
"475"	"215002_at"	""
"476"	"208344_x_at"	"IFNA13"
"477"	"221151_at"	"PRDM9"
"478"	"228217_s_at"	"PSMG4"
"479"	"233443_at"	"PSMG4"
"480"	"242623_x_at"	"PSMG4"
"481"	"228990_at"	"SNORA44"
"482"	"233160_at"	"DEFB129"
"483"	"222471_s_at"	"KCMF1"
"484"	"240430_at"	"KCMF1"
"485"	"242887_at"	"KCMF1"
"486"	"217938_s_at"	"KCMF1"
"487"	"210444_at"	"NPY6R"
"488"	"236860_at"	"NPY6R"
"489"	"231447_at"	"LINC00851"
"490"	"201612_at"	""
"491"	"236340_at"	"LINC01006"
"492"	"223630_at"	"LINC01006"
"493"	"204383_at"	"DGCR14"
"494"	"239730_at"	"DGCR14"
"495"	"32032_at"	"DGCR14"
"496"	"217285_at"	"DGCR14"
"497"	"1561556_at"	""
"498"	"226101_at"	"PRKCE"
"499"	"206248_at"	"PRKCE"
"500"	"236459_at"	"PRKCE"
"501"	"203034_s_at"	""
"502"	"228168_at"	""
"503"	"208511_at"	"PTTG3P"
"504"	"227863_at"	"IFITM10"
"505"	"1564573_at"	"IFITM10"
"506"	"227886_at"	"IFITM10"
"507"	"1568850_at"	"ACKR2"
"508"	"206887_at"	"ACKR2"
"509"	"239452_at"	"ACKR2"
"510"	"241550_at"	"DPPA5"
"511"	"228464_at"	"MIR3685"
"512"	"211144_x_at"	"TRGC1"
"513"	"209813_x_at"	"TRGC1"
"514"	"215806_x_at"	"TRGC1"
"515"	"216920_s_at"	"TRGC1"
"516"	"206509_at"	"PIP"
"517"	"214033_at"	"ABCC6P2"
"518"	"243264_s_at"	"C8orf44-SGK3"
"519"	"220038_at"	"C8orf44-SGK3"
"520"	"1561619_at"	"LINGO1-AS2"
"521"	"231531_at"	"FANCD2OS"
"522"	"204958_at"	"PLK3"
"523"	"241345_at"	"MIR186"
"524"	"223898_at"	"ZNF670"
"525"	"224870_at"	"SNORA26"
"526"	"221475_s_at"	"RPL15"
"527"	"221476_s_at"	"RPL15"
"528"	"240806_at"	"RPL15"
"529"	"219067_s_at"	"NSMCE4A"
"530"	"211376_s_at"	"NSMCE4A"
"531"	"228506_at"	"NSMCE4A"
"532"	"1560703_at"	"LYRM9"
"533"	"213195_at"	"LYRM9"
"534"	"230047_at"	"ARHGAP42"
"535"	"223595_at"	"ARHGAP42"
"536"	"1553383_at"	"ARHGAP42"
"537"	"1559746_a_at"	"ZNF718"
"538"	"1553269_at"	"ZNF718"
